2023-02-13 21:38:44,379 | INFO | Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2023-02-13 21:39:01,882 | INFO | Send command: 'command'
2023-02-13 21:39:01,996 | INFO | Response command: 'ok'
2023-02-13 21:39:05,679 | INFO | Send command: 'mon'
2023-02-13 21:39:05,800 | INFO | Response mon: 'ok'
2023-02-13 21:39:05,817 | INFO | Send command: 'mdirection 0'
2023-02-13 21:39:05,926 | INFO | Response mdirection 0: 'ok'
2023-02-13 21:39:05,941 | INFO | Send command: 'motoron'
2023-02-13 21:39:06,051 | INFO | Response motoron: 'ok'
2023-02-13 21:39:06,066 | INFO | Send command: 'takeoff'
2023-02-13 21:39:09,149 | INFO | Send command: 'up 50'
2023-02-13 21:39:09,786 | INFO | Response takeoff: 'error Not joystick'
2023-02-13 21:39:09,802 | INFO | Send command: 'takeoff'
2023-02-13 21:39:09,910 | INFO | Response takeoff: 'error'
2023-02-13 21:39:09,925 | INFO | Send command: 'takeoff'
2023-02-13 21:39:10,021 | INFO | Response up 50: 'error'
2023-02-13 21:39:10,036 | INFO | Send command: 'up 50'
2023-02-13 21:39:10,683 | INFO | Response takeoff: 'error Not joystick'
2023-02-13 21:39:11,180 | INFO | Send command: 'up 50'
2023-02-13 21:39:12,056 | INFO | Response up 50: 'ok'
2023-02-13 21:39:13,605 | INFO | Response up 50: 'ok'
2023-02-13 21:39:13,777 | INFO | Send command: 'left 50'
2023-02-13 21:39:15,869 | INFO | Send command: 'right 50'
2023-02-13 21:39:16,199 | INFO | Response right 50: 'ok'
2023-02-13 21:39:20,853 | WARNING | Aborting command 'left 50'. Did not receive a response after 7 seconds
2023-02-13 21:39:20,854 | INFO | Send command: 'left 50'
2023-02-13 21:39:22,216 | INFO | Send command: 'cw 50'
2023-02-13 21:39:23,358 | INFO | Response left 50: 'ok'
2023-02-13 21:39:24,382 | INFO | Send command: 'cw 50'
2023-02-13 21:39:25,808 | INFO | Send command: 'cw 50'
2023-02-13 21:39:25,824 | INFO | Response cw 50: 'ok'
2023-02-13 21:39:27,303 | INFO | Response cw 50: 'ok'
2023-02-13 21:39:28,770 | INFO | Send command: 'cw 50'
2023-02-13 21:39:30,262 | INFO | Response cw 50: 'ok'
2023-02-13 21:39:31,486 | INFO | Send command: 'cw 50'
2023-02-13 21:39:33,016 | INFO | Response cw 50: 'ok'
2023-02-13 21:39:38,553 | WARNING | Aborting command 'cw 50'. Did not receive a response after 7 seconds
2023-02-13 21:39:38,554 | INFO | Send command: 'cw 50'
2023-02-13 21:39:40,077 | INFO | Response cw 50: 'ok'
2023-02-13 21:39:43,839 | INFO | Send command: 'cw 50'
2023-02-13 21:39:45,457 | INFO | Response cw 50: 'ok'
2023-02-13 21:39:52,179 | INFO | Send command: 'left 50'
2023-02-13 21:39:53,432 | INFO | Send command: 'left 50'
2023-02-13 21:39:54,534 | INFO | Response left 50: 'ok'
2023-02-13 21:39:55,554 | INFO | Send command: 'left 50'
2023-02-13 21:39:57,694 | INFO | Send command: 'land'
2023-02-13 21:39:57,800 | INFO | Response land: 'ok'
2023-02-13 21:39:59,264 | WARNING | Aborting command 'left 50'. Did not receive a response after 7 seconds
2023-02-13 21:39:59,265 | INFO | Send command: 'left 50'
2023-02-13 21:39:59,373 | INFO | Response left 50: 'error Auto land'
2023-02-13 21:39:59,388 | INFO | Send command: 'left 50'
2023-02-13 21:39:59,483 | INFO | Response left 50: 'error Auto land'
2023-02-13 21:39:59,497 | INFO | Send command: 'left 50'
2023-02-13 21:39:59,606 | INFO | Response left 50: 'error Auto land'
2023-02-13 21:40:02,878 | INFO | Response left 50: 'ok'
