2022-12-03 16:32:05,585 | INFO | Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2022-12-03 16:32:05,585 | INFO | Trying to connect to the drone now!
2022-12-03 16:32:05,601 | INFO | Send command: 'command'
2022-12-03 16:32:05,713 | INFO | Response command: 'ok'
2022-12-03 16:32:09,650 | INFO | Send command: 'mon'
2022-12-03 16:32:09,761 | INFO | Response mon: 'ok'
2022-12-03 16:32:09,777 | INFO | Send command: 'mdirection 0'
2022-12-03 16:32:09,885 | INFO | Response mdirection 0: 'ok'
2022-12-03 16:32:09,885 | INFO | Send command: 'motoron'
2022-12-03 16:32:09,994 | INFO | Response motoron: 'ok'
2022-12-03 16:32:10,009 | INFO | Send command: 'takeoff'
2022-12-03 16:32:12,888 | INFO | Send command: 'up 20'
2022-12-03 16:32:13,433 | INFO | Response up 20: 'error Not joystick'
2022-12-03 16:32:13,448 | INFO | Send command: 'up 20'
2022-12-03 16:32:14,001 | INFO | Response up 20: 'error Not joystick'
2022-12-03 16:32:14,016 | INFO | Send command: 'up 20'
2022-12-03 16:32:14,670 | INFO | Response up 20: 'error Not joystick'
2022-12-03 16:32:18,448 | INFO | Send command: 'up 20'
2022-12-03 16:32:18,752 | INFO | Response takeoff: 'ok'
2022-12-03 16:32:20,105 | INFO | Response up 20: 'ok'
2022-12-03 16:32:23,291 | INFO | Send command: 'right 20'
2022-12-03 16:32:26,582 | INFO | Response right 20: 'ok'
2022-12-03 16:32:26,745 | INFO | Send command: 'left 20'
2022-12-03 16:32:28,837 | INFO | Response left 20: 'ok'
2022-12-03 16:32:30,554 | INFO | Send command: 'right 20'
2022-12-03 16:32:33,090 | INFO | Send command: 'right 20'
2022-12-03 16:32:33,861 | INFO | Response right 20: 'ok'
2022-12-03 16:32:35,259 | INFO | Send command: 'right 20'
2022-12-03 16:32:35,513 | INFO | Send command: 'right 20'
2022-12-03 16:32:35,698 | INFO | Send command: 'right 20'
2022-12-03 16:32:36,338 | INFO | Send command: 'right 20'
2022-12-03 16:32:36,522 | INFO | Send command: 'right 20'
2022-12-03 16:32:36,747 | INFO | Send command: 'right 20'
2022-12-03 16:32:37,186 | INFO | Send command: 'right 20'
2022-12-03 16:32:37,726 | INFO | Send command: 'right 20'
2022-12-03 16:32:37,926 | INFO | Send command: 'right 20'
2022-12-03 16:32:38,178 | INFO | Response right 20: 'ok'
2022-12-03 16:32:38,520 | INFO | Send command: 'right 20'
2022-12-03 16:32:40,147 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:40,147 | INFO | Send command: 'right 20'
2022-12-03 16:32:41,207 | INFO | Response right 20: 'ok'
2022-12-03 16:32:42,326 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:42,327 | INFO | Send command: 'right 20'
2022-12-03 16:32:42,577 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:42,579 | INFO | Send command: 'right 20'
2022-12-03 16:32:43,331 | INFO | Send command: 'right 20'
2022-12-03 16:32:43,397 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:43,397 | INFO | Send command: 'right 20'
2022-12-03 16:32:43,806 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:43,807 | INFO | Send command: 'right 20'
2022-12-03 16:32:44,064 | INFO | Send command: 'right 20'
2022-12-03 16:32:44,203 | INFO | Send command: 'right 20'
2022-12-03 16:32:44,245 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:44,245 | INFO | Send command: 'right 20'
2022-12-03 16:32:44,357 | INFO | Send command: 'right 20'
2022-12-03 16:32:44,597 | INFO | Send command: 'right 20'
2022-12-03 16:32:44,727 | INFO | Send command: 'right 20'
2022-12-03 16:32:44,782 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:44,782 | INFO | Send command: 'right 20'
2022-12-03 16:32:44,891 | INFO | Response right 20: 'ok'
2022-12-03 16:32:44,985 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:45,095 | INFO | Send command: 'right 20'
2022-12-03 16:32:45,112 | INFO | Send command: 'right 20'
2022-12-03 16:32:45,275 | INFO | Send command: 'right 20'
2022-12-03 16:32:45,429 | INFO | Send command: 'right 20'
2022-12-03 16:32:45,581 | WARNING | Aborting command 'right 20'. Did not receive a response after 7 seconds
2022-12-03 16:32:45,581 | INFO | Send command: 'right 20'
2022-12-03 16:32:45,607 | INFO | Send command: 'right 20'
2022-12-03 16:32:45,822 | INFO | Send command: 'right 20'
2022-12-03 16:32:46,008 | INFO | Send command: 'right 20'
2022-12-03 16:32:46,193 | INFO | Send command: 'right 20'
2022-12-03 16:32:46,570 | INFO | Send command: 'right 20'
