2022-12-03 16:46:25,766 | INFO | Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2022-12-03 16:46:25,766 | INFO | Trying to connect to the drone now!
2022-12-03 16:46:25,773 | INFO | Send command: 'command'
2022-12-03 16:46:25,885 | INFO | Response command: 'ok'
2022-12-03 16:46:27,287 | INFO | Send command: 'mon'
2022-12-03 16:46:27,392 | INFO | Response mon: 'ok'
2022-12-03 16:46:27,392 | INFO | Send command: 'mdirection 0'
2022-12-03 16:46:27,500 | INFO | Response mdirection 0: 'ok'
2022-12-03 16:46:27,516 | INFO | Send command: 'motoron'
2022-12-03 16:46:27,625 | INFO | Response motoron: 'ok'
2022-12-03 16:46:27,641 | INFO | Send command: 'takeoff'
2022-12-03 16:46:31,719 | INFO | Send command: 'forward 50'
2022-12-03 16:46:32,258 | INFO | Response forward 50: 'error Not joystick'
2022-12-03 16:46:32,274 | INFO | Send command: 'forward 50'
2022-12-03 16:46:32,923 | INFO | Response takeoff: 'error Not joystick'
2022-12-03 16:46:32,939 | INFO | Send command: 'takeoff'
2022-12-03 16:46:33,049 | INFO | Response forward 50: 'error'
2022-12-03 16:46:33,065 | INFO | Send command: 'forward 50'
2022-12-03 16:46:33,826 | INFO | Response takeoff: 'ok'
2022-12-03 16:46:35,163 | INFO | Response forward 50: 'ok'
2022-12-03 16:46:36,141 | INFO | Send command: 'forward 50'
2022-12-03 16:46:38,900 | INFO | Response forward 50: 'ok'
2022-12-03 16:46:39,794 | INFO | Send command: 'forward 50'
2022-12-03 16:46:42,214 | INFO | Response forward 50: 'ok'
2022-12-03 16:46:42,830 | INFO | Send command: 'forward 50'
2022-12-03 16:46:45,038 | INFO | Response forward 50: 'ok'
2022-12-03 16:46:51,284 | INFO | Send command: 'forward 50'
2022-12-03 16:46:53,500 | INFO | Response forward 50: 'ok'
2022-12-03 16:47:15,659 | INFO | Send command: 'mon'
2022-12-03 16:47:15,769 | INFO | Response mon: 'ok'
2022-12-03 16:47:15,785 | INFO | Send command: 'mdirection 0'
2022-12-03 16:47:15,893 | INFO | Response mdirection 0: 'ok'
2022-12-03 16:47:15,909 | INFO | Send command: 'motoron'
2022-12-03 16:47:16,017 | INFO | Response motoron: 'ok'
2022-12-03 16:47:16,017 | INFO | Send command: 'takeoff'
2022-12-03 16:47:16,127 | INFO | Response takeoff: 'error'
2022-12-03 16:47:16,127 | INFO | Send command: 'takeoff'
2022-12-03 16:47:16,236 | INFO | Response takeoff: 'error'
2022-12-03 16:47:16,252 | INFO | Send command: 'takeoff'
2022-12-03 16:47:16,361 | INFO | Response takeoff: 'error'
2022-12-03 16:47:18,494 | INFO | Send command: 'mon'
2022-12-03 16:47:18,611 | INFO | Response mon: 'ok'
2022-12-03 16:47:18,611 | INFO | Send command: 'mdirection 0'
2022-12-03 16:47:18,720 | INFO | Response mdirection 0: 'ok'
2022-12-03 16:47:18,736 | INFO | Send command: 'motoron'
2022-12-03 16:47:18,844 | INFO | Response motoron: 'ok'
2022-12-03 16:47:18,859 | INFO | Send command: 'takeoff'
2022-12-03 16:47:18,970 | INFO | Response takeoff: 'error'
2022-12-03 16:47:18,970 | INFO | Send command: 'takeoff'
2022-12-03 16:47:19,079 | INFO | Response takeoff: 'error'
2022-12-03 16:47:19,095 | INFO | Send command: 'takeoff'
2022-12-03 16:47:19,203 | INFO | Response takeoff: 'error'
